ID,act_desalacion_costera,act_desalacion_completa,act_prorrateo_shac,act_prorrateo_cuenca,act_nuevo_pozo_a_5km,GCM,SSP,drought_severity,drought_duration,drought_start_year,temperature_delta,drought_severity_mode,Demanda_Agro,Demanda_Poblacion,policy_schedule_csv,source_pareto,pareto_role
1200,1,1,1,1,1,CanESM5,ssp585,0.95,30,2025,3,extreme,Sin cambio en Areas Regadas,Crecimiento anual regular: 2%,,synthetic_all_on,all_on_CanESM5_cataclysm30y_dT3
1201,1,1,1,1,1,MPI-ESM1-2-LR,ssp585,0.95,20,2030,3,extreme,Sin cambio en Areas Regadas,Crecimiento anual regular: 2%,,synthetic_all_on,all_on_MPI_megadrought20y_dT3
1202,1,1,1,1,1,MPI-ESM1-2-LR,ssp585,0.9,25,2025,3,extreme,Sin cambio en Areas Regadas,Crecimiento anual regular: 2%,,synthetic_all_on,all_on_MPI_drought25y_dT3
1203,1,1,1,1,1,ACCESS-CM2,ssp585,0.9,20,2030,2,extreme,Sin cambio en Areas Regadas,Crecimiento anual regular: 2%,,synthetic_all_on,all_on_ACCESS_drought20y_dT2
1204,1,1,1,1,1,GFDL-ESM4,ssp585,0.7,20,2030,2,extreme,Sin cambio en Areas Regadas,Crecimiento anual regular: 2%,,synthetic_all_on,all_on_GFDL_drought20y_sev070_dT2
1205,1,1,1,1,1,CanESM5,ssp585,0.7,15,2035,1,extreme,Sin cambio en Areas Regadas,Crecimiento anual regular: 2%,,synthetic_all_on,all_on_CanESM5_drought15y_sev070_dT1
1206,1,1,1,1,1,MPI-ESM1-2-LR,ssp585,0.3,10,2030,1,extreme,Sin cambio en Areas Regadas,Crecimiento anual regular: 2%,,synthetic_all_on,all_on_MPI_drought10y_sev030_leve
1207,1,1,1,1,1,ACCESS-CM2,ssp585,0.3,5,2035,0,extreme,Sin cambio en Areas Regadas,Crecimiento anual regular: 2%,,synthetic_all_on,all_on_ACCESS_drought5y_sev030_leve
1208,1,1,1,1,1,MPI-ESM1-2-LR,ssp585,,,,,,Sin cambio en Areas Regadas,Crecimiento anual regular: 2%,,synthetic_all_on,all_on_MPI_normal
1209,1,1,1,1,1,ACCESS-CM2,ssp585,,,,,,Sin cambio en Areas Regadas,Crecimiento anual regular: 2%,,synthetic_all_on,all_on_ACCESS_normal
