ID,GCM,SSP,Demanda_Agro,Demanda_Poblacion,drought_severity,drought_duration,drought_start_year,drought_severity_mode,block,policy_file,pareto_idx,role,contexto,clima_run,description
2100,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2100_extremo_J1_megasequia.csv,103,extremo_J1,megasequia,882,DPS iter2 extremo_J1 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2101,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2101_extremo_J1_sequia_extrema.csv,103,extremo_J1,sequia_extrema,693,DPS iter2 extremo_J1 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2102,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2102_extremo_J2_megasequia.csv,305,extremo_J2,megasequia,882,DPS iter2 extremo_J2 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2103,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2103_extremo_J2_sequia_extrema.csv,305,extremo_J2,sequia_extrema,693,DPS iter2 extremo_J2 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2104,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2104_extremo_J3_megasequia.csv,400,extremo_J3,megasequia,882,DPS iter2 extremo_J3 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2105,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2105_extremo_J3_sequia_extrema.csv,400,extremo_J3,sequia_extrema,693,DPS iter2 extremo_J3 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2106,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2106_extremo_J4_megasequia.csv,405,extremo_J4,megasequia,882,DPS iter2 extremo_J4 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2107,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2107_extremo_J4_sequia_extrema.csv,405,extremo_J4,sequia_extrema,693,DPS iter2 extremo_J4 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2108,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2108_extremo_J5_megasequia.csv,207,extremo_J5,megasequia,882,DPS iter2 extremo_J5 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
2109,AWI-CM-1-1-MR,ssp585,Sin cambio en Areas Regadas,Crecimiento levemente mayor: 3%,0.855,10.0,2040.0,extreme,dps_proposal_iter2,policy_iter02_2109_extremo_J5_sequia_extrema.csv,207,extremo_J5,sequia_extrema,693,DPS iter2 extremo_J5 | contexto sequia_extrema (run 693) | AWI-CM-1-1-MR ssp585
2110,AWI-CM-1-1-MR,ssp585,Disminuye 15% Areas Regadas,Crecimiento levemente mayor: 3%,0.701,10.0,2035.0,extreme,dps_proposal_iter2,policy_iter02_2110_balanceada_1_megasequia.csv,188,balanceada_1,megasequia,882,DPS iter2 balanceada_1 | contexto megasequia (run 882) | AWI-CM-1-1-MR ssp585
