town,source_type,withdrawal_node
Guanguali,Aduccion,48
LosCondores,Aduccion,8
ElEsfuerzo,Camiones,17
ElManzanoLoClaudio,Camiones,23
Guanguali,Camiones,20
JuntaTilama,Camiones,22
LosCondores,Camiones,21
LosMaquis,Camiones,19
Pichidangui,Camiones,18
Quilimari,Camiones,16
ElEsfuerzo,Desal,14
ElManzanoLoClaudio,Desal,10
Guanguali,Desal,11
JuntaTilama,Desal,24
LosCondores,Desal,9
LosMaquis,Desal,12
Pichidangui,Desal,13
Quilimari,Desal,15
ElEsfuerzo,PozoCostero,25
Quilimari,PozoCostero,26
ElEsfuerzo,Acuerdo,DemAGRO_SHAC_Q09_fict
ElManzanoLoClaudio,Acuerdo,DemAGRO_SHAC_Q06_fict
Guanguali,Acuerdo,DemAGRO_SHAC_Q06_fict
JuntaTilama,Acuerdo,DemAGRO_SHAC_Q01_fict
LosCondores,Acuerdo,DemAGRO_SHAC_Q05_fict
LosMaquis,Acuerdo,DemAGRO_SHAC_Q09_fict
Pichidangui,Acuerdo,DemAGRO_SHAC_Q09_fict
Quilimari,Acuerdo,DemAGRO_SHAC_Q09_fict
