WellName,TOP,WellDepth_m,z_bot
APR_Q01_Fict_JuntaTilama__Pozo1_15m,481.71,15.0,466.7099914550781
APR_Q05_Fict_LosCondores__Pozo1_7m,166.94,7.0,159.94000244140625
APR_Q06_Fict_ElManzanoLoClaudio__pozo,120.36,20.0,100.36000061035156
APR_Q06_Fict_Guanguali__Pozo1_15m,120.36,15.0,105.36000061035156
APR_Q06_Fict_Guanguali__pozo2,120.36,22.0,98.36000061035156
APR_Q09_Fict_ElEsfuerzo__Pozo1_40m,0.0,40.0,-40.0
APR_Q09_Fict_ElEsfuerzo__Pozo2_45m,0.0,45.0,-45.0
APR_Q09_Fict_ElEsfuerzo__Pozo3_54m,0.0,54.0,-54.0
APR_Q09_Fict_ImpulsionQuilimari__Pozo1_45m,0.0,20.0,-20.0
APR_Q09_Fict_Quilimari__Pozo1_30m,0.0,20.0,-20.0
APR_Q09_Fict_Quilimari__Pozo2,0.8400002,10.0,-9.159999787807465
APR_Q09_Fict_Quilimari__Pozo3,1.13,10.0,-8.870000004768372
APU_Q09_Fict_Pichidangui__DrenQuilimari_10m,0.0,30.0,-30.0
APU_Q09_Fict_Pichidangui__NoriaCerrillos_10m,0.0,30.0,-30.0
APU_Q09_Fict_Pichidangui__NoriaFerrocarriles_10m,0.0,30.0,-30.0
APU_Q09_Fict_Pichidangui__NoriaQuilimari_10m,0.0,30.0,-30.0
DemAGRO_Sc_Q01_fict__p_16_342_id355,550.79,4.8,545.9899780273438
DemAGRO_Sc_Q01_fict__p_16_342_id356,550.79,4.5,546.2899780273438
DemAGRO_Sc_Q01_fict__p_16_342_id357,550.79,4.4,546.3899780273438
DemAGRO_Sc_Q01_fict__p_16_342_id358,550.79,5.5,545.2899780273438
DemAGRO_Sc_Q01_fict__p_32_329_id366,550.79,4.0,546.7899780273438
DemAGRO_Sc_Q01_fict__p_33_332_id348,550.79,11.0,539.7899780273438
DemAGRO_Sc_Q01_fict__p_33_332_id349,550.79,11.0,539.7899780273438
DemAGRO_Sc_Q01_fict__p_37_326_id367,550.79,7.0,543.7899780273438
DemAGRO_Sc_Q01_fict__p_38_334_id335,550.79,8.0,542.7899780273438
DemAGRO_Sc_Q01_fict__p_39_332_id376,550.79,16.0,534.7899780273438
DemAGRO_Sc_Q01_fict__p_40_330_id375,550.79,8.5,542.2899780273438
DemAGRO_Sc_Q01_fict__p_40_333_id340,550.79,8.0,542.7899780273438
DemAGRO_Sc_Q01_fict__p_40_333_id341,550.79,5.0,545.7899780273438
DemAGRO_Sc_Q01_fict__p_42_330_id374,550.79,7.0,543.7899780273438
DemAGRO_Sc_Q01_fict__p_58_329_id329,550.79,4.0,546.7899780273438
DemAGRO_Sc_Q01_fict__p_61_332_id328,550.79,6.0,544.7899780273438
DemAGRO_Sc_Q01_fict__p_65_331_id369,550.79,2.5,548.2899780273438
DemAGRO_Sc_Q01_fict__p_82_335_id353,550.79,10.0,540.7899780273438
DemAGRO_Sc_Q01_fict__p_95_334_id354,550.79,8.0,542.7899780273438
DemAGRO_Sc_Q01_fict__p_95_338_id344,550.79,2.8,547.9899780273438
DemAGRO_Sc_Q01_fict__p_95_338_id345,550.79,3.72,547.0699780273437
DemAGRO_Sc_Q02_fict__p_15_260_id266,344.63,3.0,341.6300048828125
DemAGRO_Sc_Q02_fict__p_29_218_id263,247.79,3.5,244.2899932861328
DemAGRO_Sc_Q02_fict__p_29_255_id265,330.1,10.5,319.6000061035156
DemAGRO_Sc_Q02_fict__p_29_255_id269,330.1,12.0,318.1000061035156
DemAGRO_Sc_Q02_fict__p_31_223_id261,247.79,3.5,244.2899932861328
DemAGRO_Sc_Q02_fict__p_32_218_id262,247.79,3.0,244.7899932861328
DemAGRO_Sc_Q02_fict__p_32_220_id264,247.79,3.0,244.7899932861328
DemAGRO_Sc_Q02_fict__p_32_223_id260,247.79,3.5,244.2899932861328
DemAGRO_Sc_Q02_fict__p_36_253_id252,330.1,6.0,324.1000061035156
DemAGRO_Sc_Q02_fict__p_50_178_id241,200.63,1.5,199.1300048828125
DemAGRO_Sc_Q02_fict__p_54_178_id223,200.63,5.0,195.6300048828125
DemAGRO_Sc_Q02_fict__p_56_180_id240,204.7,4.0,200.6999969482422
DemAGRO_Sc_Q02_fict__p_66_167_id247,146.75,6.0,140.75
DemAGRO_Sc_Q03_fict__p_22_204_id212,237.76,5.0,232.75999450683594
DemAGRO_Sc_Q03_fict__p_23_204_id213,237.76,4.0,233.75999450683594
DemAGRO_Sc_Q04_fict__p_61_120_id55,84.6,8.5,76.0999984741211
DemAGRO_Sc_Q04_fict__p_62_118_id53,84.6,8.5,76.0999984741211
DemAGRO_Sc_Q04_fict__p_62_120_id54,84.6,8.0,76.5999984741211
DemAGRO_Sc_Q04_fict__p_63_124_id69,88.88,5.0,83.87999725341797
DemAGRO_Sc_Q04_fict__p_63_69_id201,49.58,5.0,44.58000183105469
DemAGRO_Sc_Q04_fict__p_64_124_id57,88.88,14.0,74.87999725341797
DemAGRO_Sc_Q04_fict__p_64_99_id78,56.72,10.0,46.720001220703125
DemAGRO_Sc_Q04_fict__p_66_101_id77,59.96,10.0,49.959999084472656
DemAGRO_Sc_Q04_fict__p_67_102_id76,59.96,10.0,49.959999084472656
DemAGRO_Sc_Q04_fict__p_67_102_id79,59.96,7.0,52.959999084472656
DemAGRO_Sc_Q04_fict__p_67_105_id80,60.55,13.0,47.54999923706055
DemAGRO_Sc_Q04_fict__p_68_104_id75,59.96,10.0,49.959999084472656
DemAGRO_Sc_Q04_fict__p_77_138_id156,103.31,13.0,90.30999755859375
DemAGRO_Sc_Q04_fict__p_77_141_id137,107.52,6.0,101.5199966430664
DemAGRO_Sc_Q04_fict__p_78_129_id187,95.79,7.0,88.79000091552734
DemAGRO_Sc_Q04_fict__p_78_135_id133,95.79,7.0,88.79000091552734
DemAGRO_Sc_Q04_fict__p_78_137_id134,99.46,10.0,89.45999908447266
DemAGRO_Sc_Q04_fict__p_78_138_id132,103.31,9.0,94.30999755859375
DemAGRO_Sc_Q04_fict__p_79_129_id188,95.79,7.0,88.79000091552734
DemAGRO_Sc_Q04_fict__p_79_133_id173,95.79,13.0,82.79000091552734
DemAGRO_Sc_Q04_fict__p_79_137_id136,99.46,10.0,89.45999908447266
DemAGRO_Sc_Q04_fict__p_80_153_id168,137.77,7.0,130.77000427246094
DemAGRO_Sc_Q04_fict__p_80_154_id164,137.77,9.0,128.77000427246094
