ID,vol_Mm3,vol_npv_m3,perdida
152,18.69482,7584759.5,9686087392.323227
155,18.764832,7613135.5,9906271862.581123
158,21.329384,8306222.0,9487226906.033707
161,21.358557,8318665.0,9092192551.178276
164,20.06814,7931106.5,10040157786.215057
167,20.098349,7934965.0,8723162167.82476
170,20.071083,7932565.5,9768408795.511864
173,20.09001,7935814.0,8483303732.750572
176,21.350832,8373359.5,9592341842.036903
179,21.335724,8363026.0,8517902508.364304
182,20.123604,8123395.0,9875598493.63549
185,20.166342,8134433.5,9357986869.061974
188,21.214954,8252174.5,9590760974.571983
191,21.193808,8235368.5,8457773349.149994
194,20.311716,8079906.0,9867143645.324493
197,20.319935,8075611.5,8684738771.240402
320,18.69482,7584759.5,9686087392.323227
321,19.103937,8223437.0,5552778967.116077
322,24.031437,9070959.0,9249379943.15004
323,2.4667199,2246829.75,2435783059.354347
324,18.454273,7936349.5,5498760378.007874
325,14.231164,5754593.5,5421148121.846504
326,5.878676,3495221.0,3846088203.182724
327,16.621752,5658950.5,7044235573.155342
328,7.722709,4005775.75,4168285703.419716
329,19.23516,7008162.5,5979909095.690971
330,2.8630714,1468977.75,1324277283.6765747
331,18.5921,5306608.0,5651052794.608528
332,10.855188,3770449.5,4153162574.46978
333,18.5921,5306608.0,5651052794.608528
334,12.166216,4192507.75,2448921711.5225067
335,15.539416,3704546.0,3342296700.4261093
336,2.6840277,1037475.3125,575112073.1499023
337,6.443371,2175781.0,1026349282.0996552
338,12.648436,3265922.75,1761474012.9269714
339,6.438338,2176252.25,2026852045.0589066
340,11.839811,2386178.5,1397888943.6311874
341,2.7453046,796675.6875,466055095.8276901
342,5.261453,1325477.25,1534986396.7719345
343,5.07606,1277891.5,1529570409.4756165
344,3.233113,942832.75,788106702.925911
345,6.2064133,1171679.5,590249582.9377747
346,5.670759,1082308.25,653455708.6915665
347,9.432087,1636351.5,807028841.9745865
348,6.685964,1272265.875,1581128441.34626
349,8.440584,1471584.0,709227010.7222214
350,4.966148,747802.75,852865298.3165207
351,3.8892064,633800.625,258899950.1974945
352,5.3745565,803519.25,654315780.6837845
353,2.6958354,442115.75,442621575.17765045
354,5.803311,866276.75,429662214.9989929
355,2.37189,306107.78125,232775661.23285675
356,2.4140074,310962.9375,138283428.28396606
357,2.7342505,352997.15625,137520716.32603455
358,2.3108833,298533.65625,256428206.1491394
359,1.95303,251741.90625,242449449.56330872
415,5.5194316,3312237.25,6486555564.51651
417,6.329392,1204725.375,578108653.4137115
448,3.7713413,3015769.0,23490193063.412643
450,16.023298,7669903.5,7977538690.609055
454,8.52542,1488027.375,708016528.2272415
478,2.2674587,876013.875,1231729040.8693466
485,14.894807,4716851.0,7314946222.811035
493,2.4273908,1659793.75,1835787118.2293472
513,4.868412,3845028.5,3047014112.9338303
519,15.346728,5419064.5,15181054198.133598
533,1.799717,232341.90625,258488107.46131897
562,2.7903638,360652.40625,234214083.53483582
585,2.5064929,409426.53125,1971715047.1978455
652,7.4550014,1416339.75,1004534305.8786469
667,15.526691,5483587.5,12491111506.12378
683,21.214954,8252174.5,9590760974.571983
684,6.2453136,1188246.375,579267285.5494614
685,2.205786,284734.5,942660760.7600174
709,2.2538304,291068.15625,130097634.10516357
731,15.960312,7557939.0,7870284039.386375
741,2.365284,684887.4375,825659736.2834244
749,5.366115,3173510.0,3207534387.060219
779,4.6179013,2752087.5,6572638998.986786
782,5.33898,796278.1875,826361680.3342285
784,10.613307,2184144.5,2460310014.2648087
789,1.8657513,240288.4375,216103102.2327423
790,8.925962,1549336.25,1321010312.201088
795,10.89289,2226073.5,2444719321.927185
803,17.06806,6014298.5,5113132537.719681
820,5.606893,1069441.375,1113190226.3548203
828,16.283466,4361731.5,11522785445.796303
841,5.8779063,1503111.125,1651055165.0908508
844,8.122774,4201609.5,4716593418.537811
849,9.435726,3753073.25,1932182959.9471588
864,20.609043,6802006.5,3642178638.5085793
867,13.292196,4952112.5,17531695422.75051
870,19.31605,5350944.0,5463144282.514107
894,12.591223,2565791.0,2389341519.4658585
896,8.795508,1969959.875,1766373408.1528625
