run,n_acciones,kge_mediano,weap_J1_gw_storage,weap_J2_unmet_ap,weap_J3_agri_value,weap_J4_supply_cost,weap_J51_mean_town_fail,weap_J52_worst_year_frac,weap_J6_coastal_salinity,mlp_J1_gw_storage,mlp_J2_unmet_ap,mlp_J3_agri_value,mlp_J4_supply_cost,mlp_J51_mean_town_fail,mlp_J52_worst_year_frac,mlp_J6_coastal_salinity
1,0,0.8364297542185857,34273104.0,18619020.0,49739909334.89718,100179699019.38556,,,0.8646092292126891,34628750.6677487,17401985.744714927,49795394884.45141,108353227608.2654,,,0.8652578329820988
2,0,0.8164048145417894,34558604.0,18028336.0,35289378339.6689,97761696103.10211,,,0.8649641121647204,34690976.34134267,16319843.390680104,37333015860.19347,106061506767.46582,,,0.8658403769486732
12,0,0.8866344794627128,36233612.0,30722542.0,55979643211.99743,105827497543.23787,,,0.8663002863445296,35993821.15564733,30048831.94790659,55068357489.367905,105912483391.61821,,,0.8711112271009618
16,0,0.8966982967929715,36261976.0,84049432.0,52161504887.76996,116727748329.89973,,,0.8669319153758289,36027219.087516636,81381987.0068695,52493696320.32905,117319885787.81866,,,0.8731704403023052
17,0,0.8892511193965658,36377364.0,82900584.0,35666407926.952644,115488773872.00656,,,0.8672572844882481,36097924.917847306,79735040.13288376,37262674876.18649,116738364188.71352,,,0.8732385960054392
19,0,0.8846510625791217,38383044.0,16251886.0,56158781703.12216,86106702682.97755,,,0.8628628838405,38243867.48544327,16424616.56721336,55327416829.94533,83241801896.67445,,,0.8635322764589941
26,0,0.8585494339888564,38556092.0,83373928.0,36414811378.81198,106345281967.67412,,,0.8637833504502682,38409896.63179032,80665626.91557692,37398008679.9101,107165504942.54758,,,0.8710783215587802
37,0,0.8635687186465287,38465036.0,15815884.0,56016741872.42053,87240785616.08499,,,0.8647988054672691,38399140.850246914,16131715.217671465,56266101525.846275,81783780564.11853,,,0.8591699341559855
41,0,0.8519398666445319,38659740.0,29010180.0,36338050026.44313,94976922433.43732,,,0.8632816510693269,38608096.31216078,28426355.560429264,37973335442.32976,89872236800.87189,,,0.8644504849109007
42,0,0.8875894528715862,38410596.0,82673632.0,62065263963.63498,110807003873.68542,,,0.8657395832744234,38164709.28028785,79710509.57719836,60162087242.96505,105442470871.1879,,,0.86849937063744
58,0,0.8707994497875508,39389492.0,28526370.0,56121199243.25619,96010645283.1583,,,0.8618086512086922,39249893.46561349,28639503.88828839,56272240343.08401,91150519528.96507,,,0.8631028501562602
63,0,0.8819326460277976,37899352.0,16620645.0,61282933465.12637,90127598225.56514,,,0.8653190436063113,37897086.230159596,16443288.212559856,59588876667.419556,84851966882.41928,,,0.8613346830228319
66,0,0.8838704252400262,37897332.0,31373498.0,61305698679.72894,99066410388.09055,,,0.8657179246971379,37864870.61094915,30954925.53200005,59608785811.54741,94975665365.52928,,,0.8649582368917744
67,0,0.8874079957391869,37935244.0,31145524.0,55445406042.90581,98528350695.79233,,,0.8656698717752351,37948380.188807234,30780075.598740328,55721038022.36249,94176863994.39748,,,0.8648728426885802
159,1,0.8478885794903597,36253240.0,7707672.5,52290264953.438705,47033802200.18626,,,0.8663763962425552,36064085.66518165,8313194.442051899,53687025522.27547,41578909824.50139,,,0.8707652494068415
161,1,0.8297801889887447,36279240.0,11163283.0,43036409206.40709,61271897401.93509,,,0.8659249468653724,36038283.83045808,12132212.999696242,44146732136.45261,58819704449.56612,,,0.8709649310406646
166,1,0.8165481658731669,38395500.0,12099517.0,56109678249.61221,83630301961.38914,,,0.8628628838405,38243847.61072528,15181822.106166631,55051233827.888855,84718721146.08215,,,0.8667456692225315
167,1,0.8483730554144949,38491504.0,11210361.0,47435619535.2974,53187330777.97219,,,0.8623975809452232,38239065.15518994,12348957.248197583,46958891661.76669,48454614399.78892,,,0.8653187103759558
177,1,0.8497638720744031,38529672.0,7915674.0,56026824161.01754,43376248240.21113,,,0.8631033288385854,38367013.364300415,8781235.88947599,56419889556.345505,34830312094.31651,,,0.86216677474229
178,1,0.8582559353602803,38465036.0,11655478.0,56008842170.44982,85218584218.33997,,,0.8646240530777275,38285682.34352666,15329068.608931014,55912769978.18377,81016411855.14157,,,0.862006691330744
181,1,0.8245460716195419,36657404.0,14136666.0,57331666402.078674,94287235302.87653,,,0.8644203330160761,36318470.74936306,15570055.328377046,55934360339.69845,93759730837.8271,,,0.8635651634139927
182,1,0.8256575473378974,36705740.0,13111819.0,47510727273.79284,62988203594.18209,,,0.8643507919018826,36304004.111143366,13981700.556769019,46658151695.68612,60507878934.17352,,,0.8632208697623392
186,1,0.849917127326553,39370472.0,7429305.0,62501742970.28503,42977038652.78852,,,0.8590029139063019,39153395.23693914,8339975.640898689,60883631072.82055,34554855103.44301,,,0.8629208631380952
197,1,0.8441228476111576,37952180.0,11366202.0,46745828395.75107,56112309530.64678,,,0.8654151128166483,37926301.03384688,12157638.614455078,46797614430.90769,49365144656.77809,,,0.8644940991388597
