run,n_acciones,kge_mediano,weap_J1_gw_storage,weap_J2_unmet_ap,weap_J3_agri_value,weap_J4_supply_cost,weap_J51_mean_town_fail,weap_J52_worst_year_frac,weap_J6_coastal_salinity,mlp_J1_gw_storage,mlp_J2_unmet_ap,mlp_J3_agri_value,mlp_J4_supply_cost,mlp_J51_mean_town_fail,mlp_J52_worst_year_frac,mlp_J6_coastal_salinity
2200,4,0.7249309895657674,35068256.0,0.02292000688612461,44176759464.21848,49803830222.09254,,,0.8638678248667773,34566140.15624098,1442152.8695900522,44699852819.63131,39816744803.956955,,,0.87103757852716
2201,4,0.7517068577350763,33777952.0,0.0309000127017498,48396350442.97069,49151397351.89465,,,0.8639580791276282,32705105.323367916,1192106.2077589692,47809601963.31666,38202190773.97437,,,0.8706717492127063
2202,2,0.7573571505905109,35130272.0,0.00247000134550035,54334236832.93684,52005740443.06518,,,0.8637837997312775,34531050.916471526,1736482.9356631248,56870213471.471565,45882599393.910995,,,0.8700037415674344
2203,2,0.8099294361111564,34043180.0,0.003380004782229662,59719219426.34735,52102450779.202896,,,0.863701425463818,32697025.24500098,1604607.8292951225,60260080417.11165,44484844339.945366,,,0.8690650430011251
2204,2,0.839017979008821,35560828.0,3948342.25,54557773299.57844,52489040461.31649,,,0.8637835811809134,34536929.50971101,4636103.737296965,56327297542.40902,44139481680.08751,,,0.8681610864171497
2205,2,0.850021073309005,34230440.0,13799292.0,60197975416.424225,54103113922.04781,,,0.8637066213956802,32711874.796979964,13455220.321606379,59652400016.01953,47214877426.293526,,,0.8671415887780041
2206,3,0.7622261789573258,35504296.0,0.08905129134654999,45197970668.172386,49991752871.439,,,0.8637764058839282,34683773.88247582,1502018.6314106649,45839070116.59631,42146640784.75563,,,0.8708695837755787
2207,3,0.8075589163905148,34252788.0,0.08983504772186279,49488514048.92872,50131535383.87149,,,0.8639037367810365,32924270.70783961,1449556.6057813666,49028491883.09447,41484914754.99019,,,0.8704195723197089
2208,3,0.7403528181702407,35068528.0,0.09460128843784332,45083654333.33543,48968940544.68919,,,0.8637764058839282,34566775.27887197,1422210.5875416277,45767383868.76801,39423007184.66085,,,0.8708990221835693
2209,4,0.7822115736650742,33775000.0,26257.02734375,49316825121.16249,49608539813.234566,,,0.8639037367810365,32711937.258411672,1188251.7018667806,48923824296.5965,39051288355.45317,,,0.8704444230243693
2210,2,0.7714347865557478,35124956.0,1097588.875,54311585535.52928,54302675590.108826,,,0.8637944465935833,34428873.31465111,2878233.341668387,56526920952.101036,43769151524.55302,,,0.867951817845194
2211,2,0.8089958841640894,33809020.0,3522102.5,59616483439.65765,55605888600.13195,,,0.863766110999323,32498016.162663165,4514196.906476539,59812580883.03949,44738832811.93078,,,0.866828096007552
2212,4,0.7566437082158148,35088344.0,4929.68310546875,45296855457.718575,50517850643.165695,,,0.8637764058839282,34397248.36271261,1444109.4443202256,46057340146.83561,40899218769.55419,,,0.8708990221835693
2213,4,0.7820460692207534,33777344.0,6038.26220703125,49319390717.56766,49858171046.83081,,,0.8639037367810365,32690061.308715906,1184826.6912395968,48915070299.74752,39294135401.18799,,,0.8704444230243693
2214,4,0.790020085598103,35114860.0,557512.8125,48414429612.230865,55607657792.25885,,,0.8638741503228674,34355820.42163192,2378256.7885555215,49485251073.40849,46596458018.98984,,,0.8707749433342789
2215,4,0.7848560476365919,34177244.0,2005759.75,52531070286.431625,53542549602.68356,,,0.8638923011644921,32539133.31903477,3146704.2613843777,52422332135.42364,44551431983.978775,,,0.8701871504702794
2216,2,0.782524310206043,35013300.0,6020985.0,54236332920.60811,69178837335.32712,,,0.8638980547957579,34446141.132159665,7097412.621374286,56143709482.158585,63668555433.39692,,,0.8674821436101553
2217,2,0.8081631401602776,33710436.0,11742241.0,59459294385.38447,65863618051.79799,,,0.8638281613796741,32276690.34867954,12080516.218037996,59531613975.1949,59461448161.83635,,,0.8664970374155274
2218,3,0.7844903997165333,35124736.0,626927.6875,52092233517.55237,47395328581.593605,,,0.8638777073817189,34426262.33250658,2383201.6444800794,53678947668.219635,37090251348.71672,,,0.8700904520734215
2219,3,0.807882670891219,33813664.0,1083528.25,55088598770.56754,46121951647.818184,,,0.8638682381626979,32469425.671089407,2595090.2428962346,54978754865.52137,35439410417.00101,,,0.869451071664859
2220,3,0.8020158481775176,35464896.0,3730507.5,52325365898.22503,69328717707.87122,,,0.8636744734197971,34483507.48270886,4718462.836510187,53611333157.71021,60748941043.336555,,,0.8638826875707499
2221,3,0.8380254555964984,34183196.0,7874803.0,57893814898.487175,71309334854.168,,,0.8636177157651759,32759924.50975306,7597865.56864731,57318087866.51308,64181307265.060745,,,0.8632225329205543
2222,3,0.7207966750359789,35061396.0,162686.8125,44180305401.260925,44487141890.61517,,,0.8638741987198013,34393514.085785836,1578124.6779704825,43735279050.6319,34880179401.67588,,,0.8698437131176968
2223,3,0.7619556066605078,34109492.0,374984.5,48549158573.89692,45185274968.81781,,,0.8639578240364212,32644264.526523005,1763059.0514270384,47151498535.06127,34956651276.676315,,,0.8694488308900218
2224,3,0.7795179826669305,35131284.0,1.1910080909729004,52444364010.75474,51390647465.4901,,,0.8638008693529823,34526049.23694586,1741503.0047956042,54591861154.49704,44817527893.75732,,,0.870471827677549
